#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              13.201              13.201                   0
                   2             13.1003             13.1507           0.0355955
                   3             13.2943             13.1986           0.0457423
                   4             13.4296             13.2563           0.0606593
                   5             13.3567             13.2764            0.051746
                   6             13.1164             13.2497           0.0495165
                   7             13.2807             13.2542           0.0426404
                   8             13.1719             13.2439           0.0385295
                   9             13.4662             13.2686           0.0414162
                  10             13.2424              13.266           0.0373575
                  11             13.5253             13.2895           0.0407267
                  12             13.4249             13.3008           0.0388632
                  13             12.9069             13.2705           0.0462009
                  14             13.2564             13.2695           0.0429118
                  15             13.4824             13.2837           0.0423336
                  16             13.4909             13.2967           0.0416207
                  17             13.1997              13.291           0.0395612
                  18             13.1033             13.2805           0.0387122
                  19             13.4168             13.2877           0.0373329
                  20             13.1889             13.2828           0.0357916
