#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             102.638             102.638                   0
                   2             105.259             103.948            0.926636
                   3             104.308             104.068             0.62545
                   4              106.41             104.654            0.690792
                   5              102.43             104.209            0.680932
                   6             106.468             104.585            0.663446
                   7             105.184             104.671            0.574151
                   8             106.142             104.855            0.531007
                   9             108.474             105.257            0.605423
                  10             103.372             105.068            0.573459
                  11             103.504             104.926            0.538681
                  12             105.424             104.968            0.495386
                  13             107.459             105.159            0.492952
                  14             107.776             105.346            0.491888
                  15             105.328             105.345            0.459097
                  16             105.031             105.325            0.430823
                  17             104.349             105.268            0.409292
                  18             106.146             105.317             0.38945
                  19             105.153             105.308            0.369049
                  20             104.118             105.249            0.355364
