#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.0297              1.0297                   0
                   2              1.0286             1.02915         0.000388909
                   3              0.8501            0.969467           0.0487319
                   4              0.5966             0.87625           0.0886162
                   5               0.843              0.8696           0.0711421
                   6              0.8515            0.866583            0.059349
                   7              0.6422            0.834529           0.0588943
                   8              0.7592            0.825112           0.0522798
                   9              0.8157            0.824067           0.0464814
                  10              0.9959             0.84125           0.0448972
                  11              0.8915            0.845818           0.0410474
                  12              0.9108            0.851233           0.0379823
                  13              0.7553            0.843854           0.0357703
                  14               0.952            0.851579           0.0340391
                  15              0.4798            0.826793           0.0397829
                  16              0.7906            0.824531           0.0373607
                  17              0.8172              0.8241           0.0351655
                  18              0.9868            0.833139           0.0343539
                  19              0.8327            0.833116           0.0325458
                  20              0.6357            0.823245           0.0323808
