#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.5902              0.5902                   0
                   2              0.9663             0.77825            0.132971
                   3              1.0741            0.876867            0.119758
                   4              1.0682              0.9247           0.0989108
                   5              1.1085             0.96146           0.0856877
                   6               0.675            0.913717           0.0836564
                   7              0.9209            0.914743           0.0717118
                   8              1.2481            0.956412           0.0738688
                   9              1.0657            0.968556           0.0666518
                  10              0.6473             0.93643           0.0672848
                  11               1.088            0.950209           0.0625629
                  12              0.9062            0.946542           0.0574568
                  13              0.9969            0.950415           0.0531674
                  14              0.5813             0.92405           0.0555235
                  15              0.6468            0.905567           0.0548121
                  16              0.6247            0.888013           0.0541244
                  17              0.5484            0.868035           0.0545028
                  18              1.1116            0.881567            0.053128
                  19              1.0288            0.889316           0.0508938
                  20              0.8914             0.88942           0.0483492
