#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.4581              0.4581                   0
                   2              0.7779               0.618            0.113066
                   3               0.838            0.691333           0.0962651
                   4              0.8927            0.741675           0.0843409
                   5              0.9277             0.77888           0.0752325
                   6              0.5475            0.740317           0.0719012
                   7              0.6584            0.728614           0.0625747
                   8              0.9457             0.75575           0.0603505
                   9              0.9059            0.772433           0.0559033
                  10              0.4697             0.74216           0.0579329
                  11              0.8922              0.7558           0.0542483
                  12              0.6656            0.748283           0.0502456
                  13              0.7426            0.747846           0.0463825
                  14              0.5423            0.733164           0.0453336
                  15              0.4563            0.714707           0.0459154
                  16              0.4496            0.698138           0.0459381
                  17              0.4369            0.682771           0.0457339
                  18              0.9098            0.695383           0.0448987
                  19              0.8583            0.703958           0.0433466
                  20              0.7189            0.704705           0.0411857
