#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1              228.03              228.03                   0
                   2             226.325             227.178            0.602663
                   3              224.25             226.202             0.89227
                   4             234.061             228.167             1.82836
                   5              231.47             228.827             1.57754
                   6              229.71             228.974             1.32146
                   7             229.407             229.036             1.13412
                   8             226.972             228.778              1.0213
                   9             217.011             227.471             1.53089
                  10             222.568              226.98             1.45419
                  11             236.719             227.866             1.56852
                  12             229.176             227.975             1.44161
                  13             223.197             227.607             1.37677
                  14             230.131             227.788             1.29018
                  15             227.003             227.735             1.20523
                  16             234.336             228.148             1.19843
                  17             236.059             228.613             1.21493
                  18             234.091             228.918             1.18493
                  19             218.192             228.353             1.24982
                  20             236.993             228.785             1.25977
