#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              18.638              18.638                   0
                   2             18.4224             18.5302            0.076229
                   3             18.5766             18.5457           0.0523624
                   4             19.0433             18.6701            0.114671
                   5             18.4345              18.623            0.100951
                   6              19.348             18.7438             0.13873
                   7              18.586             18.7213             0.12073
                   8             18.6645             18.7142            0.105847
                   9             18.3884              18.678            0.100084
                  10             18.8612             18.6963           0.0917376
                  11             18.2463             18.6554            0.092068
                  12             18.7444             18.6628           0.0846939
                  13             18.6445             18.6614           0.0781907
                  14             19.0891             18.6919            0.078347
                  15             18.5544             18.6828           0.0736588
                  16             19.0649             18.7067           0.0728245
                  17             18.9273             18.7196           0.0696877
                  18             19.0916             18.7403           0.0688125
                  19              18.953             18.7515           0.0660948
                  20             18.9434             18.7611           0.0634828
