#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.514084            -0.514084                    0
                   2           -0.517784            -0.515934           0.00130815
                   3            -0.51674            -0.516203          0.000899265
                   4           -0.515376            -0.515996          0.000697792
                   5           -0.514648            -0.515726          0.000608089
                   6           -0.515168            -0.515633          0.000513813
                   7           -0.516352            -0.515736          0.000450552
                   8           -0.515564            -0.515715          0.000394745
                   9           -0.517644            -0.515929          0.000404939
                  10           -0.514648            -0.515801           0.00038417
                  11           -0.517588            -0.515963           0.00038206
                  12           -0.516408               -0.516          0.000352015
                  13           -0.518032            -0.516157          0.000357951
                  14           -0.517296            -0.516238           0.00034151
                  15           -0.517308            -0.516309          0.000326107
                  16           -0.517568            -0.516388          0.000315071
                  17           -0.516616            -0.516401          0.000296823
                  18           -0.514176            -0.516278          0.000304996
                  19            -0.51628            -0.516278          0.000288944
                  20           -0.516048            -0.516266          0.000274725
