#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             12.0758             12.0758                   0
                   2             11.9554             12.0156           0.0425741
                   3              12.114             12.0484           0.0390212
                   4              11.839              11.996            0.053957
                   5             11.9511             11.9871            0.043906
                   6             11.8019             11.9562           0.0461794
                   7             12.1073             11.9778           0.0443441
                   8             11.9321             11.9721           0.0391673
                   9              12.058             11.9816           0.0359611
                  10              11.844             11.9679           0.0348976
                  11             11.8128             11.9538           0.0344553
                  12             11.8083             11.9416           0.0336488
                  13             11.7216             11.9247           0.0350589
                  14             11.8923             11.9224           0.0326312
                  15             11.9015              11.921           0.0304856
                  16             12.0125             11.9267            0.029112
                  17             12.2097             11.9434           0.0318038
                  18             11.8763             11.9396           0.0302544
                  19             12.0724             11.9466           0.0294581
                  20              11.921             11.9454            0.028013
