#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             89.4121             89.4121                   0
                   2              90.524             89.9681            0.393111
                   3             88.3003             89.4122            0.524121
                   4             88.9141             89.2876            0.407615
                   5             88.9949             89.2291            0.330271
                   6             86.9465             88.8486            0.443117
                   7             89.9898             89.0117            0.408705
                   8             91.3327             89.3018            0.448934
                   9             90.3781             89.4214            0.414674
                  10             91.0696             89.5862            0.404639
                  11             91.4167             89.7526            0.400612
                  12             87.1785             89.5381            0.420756
                  13             91.2029             89.6662            0.407412
                  14              88.939             89.6142            0.381608
                  15             91.3688             89.7312            0.373665
                  16             92.9449              89.932            0.400674
                  17             90.3165             89.9547            0.377743
                  18             88.2165             89.8581            0.368894
                  19             88.7203             89.7982            0.354305
                  20             88.5307             89.7348            0.342211
