#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1              49.236              49.236                   0
                   2             49.1621             49.1991           0.0261406
                   3             48.7962             49.0648            0.111022
                   4             48.1361             48.8326            0.217629
                   5             49.2841             48.9229            0.191926
                   6             49.5807             49.0325            0.188671
                   7             48.8655             49.0087             0.16322
                   8             49.5918             49.0816            0.158259
                   9             49.5069             49.1288            0.147564
                  10             48.3536             49.0513            0.151812
                  11             49.5591             49.0975            0.144858
                  12             49.3289             49.1168            0.134065
                  13             49.7743             49.1673            0.132952
                  14             51.2301             49.3147            0.188146
                  15             49.3368             49.3162            0.175608
                  16             50.1419             49.3678            0.172049
                  17             48.3757             49.3094            0.171541
                  18             49.7343              49.333            0.163627
                  19             48.5256             49.2905            0.160438
                  20             49.8742             49.3197            0.155048
