#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             7.45343             7.45343                   0
                   2             7.40399             7.42871           0.0174801
                   3              7.4767              7.4447           0.0175042
                   4             7.54103             7.46879           0.0246435
                   5              7.6576             7.50655           0.0391081
                   6             7.37082             7.48393           0.0385815
                   7             7.35432             7.46541           0.0372487
                   8             7.49127             7.46864           0.0327325
                   9             7.41929             7.46316           0.0295513
                  10              7.4086              7.4577           0.0270951
                  11             7.48136             7.45985           0.0247171
                  12              7.2573             7.44298           0.0278303
                  13             7.47677             7.44558           0.0258107
                  14               7.472             7.44746            0.024036
                  15             7.46568             7.44868           0.0224642
                  16             7.44591              7.4485           0.0210609
                  17             7.53373             7.45352           0.0204099
                  18             7.39152             7.45007           0.0195644
                  19             7.62961             7.45952           0.0206912
                  20             7.46048             7.45957           0.0196567
