#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.4577              1.4577                   0
                   2              1.3195              1.3886           0.0488611
                   3              1.2232             1.33347           0.0555655
                   4              1.3129             1.32832           0.0419113
                   5              1.4236             1.34738           0.0376121
                   6              1.3598             1.34945           0.0314004
                   7               0.963             1.29424           0.0577652
                   8              1.1951             1.28185           0.0518569
                   9               1.278             1.28142           0.0460968
                  10              1.3964             1.29292           0.0428971
                  11              1.2075             1.28515            0.039694
                  12              1.3196             1.28802           0.0364898
                  13              1.5156             1.30553           0.0376486
                  14              1.3528             1.30891           0.0351105
                  15              1.0158             1.28937           0.0378184
                  16               1.091             1.27697           0.0374318
                  17              1.5364             1.29223           0.0382144
                  18              1.2035              1.2873           0.0364079
                  19              1.4525             1.29599           0.0355147
                  20               1.143             1.28835            0.034553
