#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.546432            -0.546432                    0
                   2           -0.548744            -0.547588          0.000817415
                   3           -0.547536            -0.547571          0.000545127
                   4              -0.547            -0.547428          0.000427107
                   5           -0.546572            -0.547257          0.000374428
                   6           -0.548024            -0.547385          0.000333142
                   7            -0.54832            -0.547518          0.000311195
                   8           -0.548804            -0.547679          0.000311039
                   9             -0.5456            -0.547448          0.000351956
                  10           -0.547928            -0.547496          0.000320016
                  11           -0.548924            -0.547626          0.000316161
                  12           -0.547784            -0.547639          0.000290089
                  13           -0.548904            -0.547736          0.000283625
                  14           -0.548504            -0.547791          0.000268615
                  15           -0.545424            -0.547633          0.000293424
                  16           -0.549452            -0.547747          0.000296284
                  17           -0.549768            -0.547866          0.000301765
                  18           -0.548344            -0.547892          0.000286167
                  19           -0.547424            -0.547868          0.000272166
                  20           -0.549336            -0.547941          0.000268275
