#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             13.1383             13.1383                   0
                   2             13.3266             13.2324           0.0665544
                   3             13.3631              13.276           0.0568542
                   4             13.5616             13.3474           0.0751148
                   5             13.2352             13.3249           0.0633538
                   6             13.2077             13.3054           0.0557262
                   7             13.2453             13.2968           0.0484235
                   8             13.1788             13.2821           0.0445617
                   9             13.1666             13.2692           0.0414166
                  10             13.2098             13.2633           0.0376992
                  11             13.2116             13.2586           0.0345635
                  12             13.1477             13.2493           0.0328955
                  13             13.2488             13.2493           0.0303651
                  14             13.1142             13.2396           0.0296906
                  15             13.0848             13.2293           0.0294513
                  16                13.4               13.24           0.0294782
                  17             13.1759             13.2362            0.027984
                  18             13.3161             13.2407           0.0267786
                  19             13.0647             13.2314           0.0269228
                  20             13.2086             13.2303           0.0256008
