#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             104.775             104.775                   0
                   2             108.291             106.533             1.24316
                   3              103.72             105.595             1.12818
                   4              106.99             105.944            0.898428
                   5             106.569             106.069            0.727393
                   6             103.245             105.598            0.743046
                   7             106.047             105.663            0.639657
                   8             101.497             105.142            0.741944
                   9             103.775              104.99             0.67487
                  10             105.721             105.063            0.611332
                  11             102.024             104.787            0.615008
                  12             105.327             104.832            0.565403
                  13             105.795             104.906            0.526738
                  14             101.113             104.635             0.55442
                  15              104.03             104.595            0.518924
                  16             104.307             104.577            0.486803
                  17             106.525             104.691            0.471464
                  18              108.11             104.881            0.482017
                  19             102.745             104.769            0.469577
                  20             107.596              104.91            0.466889
