#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             19.5391             19.5391                   0
                   2             19.2264             19.3827            0.110545
                   3             19.6115              19.459           0.0964733
                   4             19.6227             19.4999           0.0805671
                   5             19.2469             19.4493           0.0787553
                   6             19.7814             19.5047           0.0828301
                   7             19.7992             19.5467           0.0809791
                   8             19.1496             19.4971           0.0847179
                   9             19.1408             19.4575           0.0840467
                  10             19.7156             19.4833           0.0795048
                  11             19.5641             19.4907           0.0726156
                  12             19.4288             19.4855           0.0667471
                  13             19.5803             19.4928             0.06201
                  14             19.3785             19.4846           0.0581155
                  15             19.9416             19.5151           0.0617112
                  16             19.5092             19.5147           0.0578553
                  17             19.5514             19.5169           0.0544922
                  18             19.3697             19.5087           0.0520751
                  19              19.784             19.5232           0.0513105
                  20             19.3886             19.5165           0.0491841
