#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             265.509             265.509                   0
                   2             261.005             263.257             1.59234
                   3             262.676             263.063             1.07325
                   4             263.295             263.121            0.806503
                   5             274.807             265.458             2.18777
                   6             268.783             266.012               1.892
                   7              251.12             263.885             2.55139
                   8             256.997             263.024             2.37331
                   9             265.051             263.249             2.12027
                  10             266.606             263.585             1.93462
                  11             255.362             262.837              1.8977
                  12             262.994              262.85              1.7396
                  13             259.732              262.61             1.62224
                  14             254.979             262.065             1.59533
                  15             261.166             262.005              1.4901
                  16             264.772             262.178             1.40697
                  17             260.835             262.099             1.32642
                  18             266.167             262.325             1.27184
                  19             262.583             262.339             1.20497
                  20             248.626             261.653             1.32553
