#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             290.425             290.425                   0
                   2              314.86             302.643             8.63895
                   3             307.747             304.344             5.92451
                   4             314.372             306.851             4.94545
                   5             331.246              311.73             5.89032
                   6             299.794             309.741             5.23377
                   7             314.611             310.436              4.5321
                   8             316.183             311.155              4.0221
                   9             304.725              310.44             3.63809
                  10             314.756             310.872             3.29978
                  11             318.938             311.605             3.08021
                  12              316.08             311.978               2.846
                  13             296.645             310.799             2.86107
                  14             315.631             311.144             2.67745
                  15             315.045             311.404             2.51155
                  16             319.707             311.923             2.40759
                  17             313.333             312.006              2.2674
                  18             315.678              312.21             2.15059
                  19              272.61             310.126             2.87513
                  20             307.831             310.011             2.73366
