#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.9064              0.9064                   0
                   2              0.8308              0.8686           0.0267286
                   3              1.0897              0.9423           0.0627586
                   4              0.7816            0.902125           0.0585321
                   5              0.6365               0.849           0.0667118
                   6              0.7816            0.837767            0.056531
                   7              1.0129            0.862786           0.0537069
                   8              0.7441             0.84795           0.0489998
                   9              0.8459            0.847722           0.0435559
                  10              0.8633             0.84928           0.0392282
                  11              0.7965            0.844482           0.0359542
                  12              1.1012            0.865875           0.0388041
                  13              0.9584            0.872992           0.0364661
                  14              1.0653            0.886729           0.0363565
                  15              0.7925            0.880447           0.0344712
                  16              0.7868            0.874594           0.0328099
                  17              0.9896            0.881359           0.0315696
                  18              1.0734            0.892028           0.0315671
                  19              0.9827              0.8968           0.0302643
                  20              0.7996             0.89194           0.0291387
