#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.973092            -0.973092                    0
                   2            -0.96858            -0.970836           0.00159523
                   3            -0.97576            -0.972477           0.00171085
                   4           -0.975896            -0.973332           0.00148131
                   5           -0.978896            -0.974445           0.00154758
                   6            -0.97844            -0.975111           0.00142572
                   7            -0.97442            -0.975012           0.00122545
                   8           -0.972176            -0.974657           0.00112238
                   9           -0.970556            -0.974202           0.00108625
                  10           -0.979188              -0.9747           0.00108606
                  11            -0.97886            -0.975079            0.0010511
                  12           -0.980628            -0.975541           0.00106037
                  13           -0.966632            -0.974856           0.00117965
                  14           -0.975596            -0.974909           0.00109657
                  15           -0.970868            -0.974639           0.00105604
                  16           -0.975212            -0.974675          0.000990641
                  17           -0.973536            -0.974608          0.000934631
                  18           -0.973032             -0.97452          0.000886798
                  19           -0.977868            -0.974697          0.000857448
                  20           -0.968004            -0.974362          0.000877447
