#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.9638              1.9638                   0
                   2              2.1209             2.04235           0.0555432
                   3              2.7889              2.2912            0.206532
                   4              2.6499             2.38088            0.173277
                   5              2.0423             2.31316            0.151275
                   6              1.9242             2.24833            0.139262
                   7              2.1886              2.2398            0.119628
                   8              2.4756             2.26927            0.108245
                   9              2.7977             2.32799            0.111005
                  10              1.8651              2.2817             0.10913
                  11               2.711             2.32073            0.105958
                  12              2.2233             2.31261           0.0974387
                  13              2.4911             2.32634           0.0909057
                  14              2.2962             2.32419           0.0844379
                  15              2.0467             2.30569           0.0808097
                  16              1.6679             2.26583            0.085024
                  17              1.4099             2.21548           0.0937522
                  18              2.8511             2.25079           0.0949615
                  19              2.5056              2.2642           0.0909056
                  20              2.4474             2.27336           0.0868206
