#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.9401              1.9401                   0
                   2              2.0982             2.01915           0.0558968
                   3              2.3371             2.12513           0.0942176
                   4              2.0442              2.1049           0.0728034
                   5              2.3553             2.15498           0.0734753
                   6              1.8571             2.10533           0.0761776
                   7              1.9153             2.07819           0.0699654
                   8               2.548             2.13691           0.0822532
                   9              2.2496             2.14943           0.0740608
                  10              2.5331              2.1878           0.0759451
                  11              2.0908             2.17898            0.069551
                  12              2.1112             2.17333           0.0639841
                  13              2.1811             2.17393            0.059065
                  14              2.5174             2.19846           0.0597243
                  15              2.1949             2.19823           0.0557432
                  16              2.3233             2.20604           0.0528045
                  17              1.9594             2.19154           0.0516531
                  18              2.7677             2.22354           0.0578575
                  19              2.3715             2.23133           0.0553339
                  20              2.6854             2.25404           0.0570349
