#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             47.9086             47.9086                   0
                   2             49.8762             48.8924            0.695644
                   3             47.6181             48.4676            0.579106
                   4             48.5112             48.4785            0.434432
                   5             48.7252             48.5279            0.350336
                   6             50.4371             48.8461            0.411842
                   7             49.3919             48.9241            0.360313
                   8             48.6894             48.8947            0.316465
                   9             48.1596             48.8131            0.291654
                  10             49.0675             48.8385            0.263596
                  11             48.6824             48.8243            0.240014
                  12             49.4914             48.8799            0.226359
                  13             48.8149             48.8749            0.209002
                  14             48.8669             48.8743            0.194074
                  15              48.987             48.8818            0.181281
                  16             48.2493             48.8423            0.174209
                  17             47.7624             48.7788            0.175161
                  18             49.8268              48.837            0.174839
                  19             47.9501             48.7903            0.171755
                  20             48.6429              48.783            0.163325
