#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             7.47566             7.47566                   0
                   2              7.2547             7.36518           0.0781215
                   3             7.49892             7.40976           0.0635404
                   4             7.42534             7.41366           0.0477744
                   5             7.54129             7.43918           0.0445202
                   6             7.42141             7.43622           0.0371986
                   7             7.39662             7.43056           0.0323119
                   8             7.43803              7.4315           0.0282864
                   9             7.49515             7.43857           0.0260125
                  10             7.39792              7.4345           0.0237268
                  11             7.44063             7.43506           0.0215763
                  12             7.64496             7.45255           0.0259161
                  13              7.6305             7.46624           0.0272992
                  14             7.52222             7.47024           0.0256405
                  15             7.32216             7.46037           0.0257616
                  16             7.47309             7.46116           0.0241638
                  17             7.49177             7.46296           0.0228093
                  18             7.34699             7.45652           0.0224337
                  19             7.44219             7.45576           0.0212657
                  20             7.45428             7.45569           0.0202025
