#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             14.5463             14.5463                   0
                   2             14.6939             14.6201           0.0521748
                   3             14.9179             14.7193           0.0881946
                   4             15.0063             14.7911           0.0907504
                   5             14.7431             14.7815           0.0731066
                   6             14.7131             14.7701           0.0618051
                   7             14.5945              14.745           0.0578418
                   8             14.6145             14.7287           0.0528606
                   9             14.6809             14.7234           0.0472533
                  10             14.5434             14.7054           0.0458258
                  11             14.9016             14.7232           0.0449985
                  12             14.7327              14.724           0.0412556
                  13             14.6808             14.7207           0.0382156
                  14             14.3676             14.6955           0.0430093
                  15              14.397             14.6756           0.0445072
                  16             14.9619             14.6935           0.0451794
                  17             14.6355             14.6901           0.0426502
                  18             14.7782              14.695           0.0405612
                  19             14.2926             14.6738           0.0436054
                  20             14.6826             14.6742           0.0414273
