#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             126.737             126.737                   0
                   2             130.925             128.831             1.48078
                   3             128.926             128.863             0.98752
                   4             126.121             128.177             0.94914
                   5             124.068             127.356             1.05682
                   6              124.13             126.818             1.00819
                   7              124.05             126.423            0.938533
                   8             118.117             125.384              1.2718
                   9             122.268             125.038             1.17669
                  10             126.561              125.19             1.06883
                  11             123.654             125.051             0.98075
                  12              126.26             125.152            0.904184
                  13             129.387             125.477            0.891398
                  14             117.357             124.897            0.998761
                  15             123.463             124.802            0.936745
                  16             123.802             124.739            0.880278
                  17             127.334             124.892            0.841627
                  18             126.446             124.978            0.799289
                  19             121.277             124.783            0.780601
                  20             130.153             125.052            0.786386
