#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             15.2365             15.2365                   0
                   2              17.416             16.3263             0.77057
                   3             19.0857             17.2461            0.909914
                   4             17.6662             17.3511            0.688471
                   5              17.241             17.3291            0.551129
                   6             16.8365              17.247            0.465348
                   7             21.6779               17.88            0.708895
                   8             19.5281              18.086            0.649529
                   9             18.6058             18.1437            0.579922
                  10             15.5446             17.8838            0.577244
                  11             14.8849             17.6112             0.58562
                  12             17.7308             17.6212            0.536903
                  13             17.3161             17.5977            0.496115
                  14             16.9869             17.5541            0.462593
                  15              16.816             17.5049            0.434362
                  16             20.3928             17.6854            0.443132
                  17             19.2557             17.7777            0.426585
                  18             18.4302              17.814            0.404423
                  19              18.832             17.8676             0.38667
                  20             20.0724             17.9778             0.38273
