#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.9046              0.9046                   0
                   2              0.9055             0.90505         0.000318198
                   3              0.8778            0.895967          0.00741954
                   4              0.6803             0.84205           0.0470236
                   5               0.782             0.83004           0.0391225
                   6              0.7306            0.813467           0.0359415
                   7              0.7743            0.807871           0.0312395
                   8              0.9747            0.828725           0.0335811
                   9              0.8392            0.829889             0.02987
                  10              0.9081             0.83771           0.0278882
                  11              0.8349            0.837455           0.0253541
                  12              1.0131            0.852092           0.0271394
                  13              0.9343            0.858415            0.025778
                  14              0.9255            0.863207            0.024378
                  15              0.7754            0.857353           0.0234451
                  16              0.8897            0.859375           0.0220667
                  17              0.9538            0.864929           0.0214564
                  18              0.9414            0.869178           0.0206807
                  19                0.83            0.867116           0.0196947
                  20              0.6228              0.8549           0.0221772
