#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             262.102             262.102                   0
                   2             259.984             261.043            0.748653
                   3             252.417             258.168             2.40008
                   4              262.13             259.158             1.99403
                   5             243.339             255.994             3.24852
                   6             254.074             255.674             2.72283
                   7             255.246             255.613             2.33454
                   8             252.505             255.224             2.07481
                   9              262.04             255.982             1.97766
                  10             249.736             255.357             1.87592
                  11             262.133             255.973             1.80368
                  12             275.622             257.611             2.27844
                  13             257.512             257.603             2.10319
                  14             265.927             258.198             2.03528
                  15             248.398             257.544             2.00171
                  16               258.9             257.629             1.87839
                  17             262.625             257.923             1.79075
                  18             267.956              258.48             1.77589
                  19             247.701             257.913             1.77073
                  20              252.14             257.624             1.70556
