#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             20.0658             20.0658                   0
                   2             19.1651             19.6155            0.318433
                   3             19.1912              19.474            0.241657
                   4             19.4151             19.4593            0.181691
                   5             19.3459             19.4366            0.146763
                   6             18.8291             19.3354            0.153303
                   7             19.0777             19.2986             0.13575
                   8              19.457             19.3184            0.120218
                   9             19.5666             19.3459            0.109978
                  10             19.4238             19.3537           0.0992554
                  11             19.0593              19.327           0.0937713
                  12             19.4782             19.3396           0.0867997
                  13               19.84             19.3781           0.0882474
                  14             19.9329             19.4177           0.0904075
                  15              19.415             19.4175           0.0843805
                  16             19.7322             19.4372           0.0813661
                  17             19.7073             19.4531           0.0781156
                  18             19.5143             19.4565           0.0738499
                  19              18.817             19.4228           0.0772523
                  20             19.1676             19.4101           0.0744362
