#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.6085              0.6085                   0
                   2              1.0518             0.83015             0.15673
                   3              1.2139            0.958067            0.147736
                   4              1.2558              1.0325            0.128189
                   5              1.2262             1.07124            0.108247
                   6              0.7182              1.0124            0.104986
                   7              0.9887             1.00901           0.0900429
                   8              1.3077             1.04635           0.0861812
                   9              1.3441             1.07943           0.0827121
                  10              0.8267             1.05416           0.0782069
                  11              1.3682             1.08271           0.0761299
                  12              0.9848             1.07455           0.0702216
                  13              1.1093             1.07722           0.0648708
                  14              0.8002             1.05744            0.063183
                  15              0.7634             1.03783            0.061937
                  16              0.8421              1.0256           0.0592617
                  17              0.5662            0.998576           0.0616299
                  18              1.2317             1.01153           0.0595513
                  19              1.0787             1.01506           0.0565219
                  20              1.1881             1.02371           0.0543539
