#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              37.966              37.966                   0
                   2             43.8619             40.9139             2.08452
                   3              40.673             40.8336             1.39122
                   4             39.1727             40.4184             1.10365
                   5             41.9542             40.7256            0.924673
                   6             35.3592             39.8312             1.12267
                   7             45.4104             40.6282             1.21264
                   8             40.1547              40.569             1.06251
                   9             42.5878             40.7933            0.967838
                  10             26.7408             39.3881             1.59248
                  11             44.3814              39.842             1.51102
                  12             40.8507             39.9261             1.38744
                  13             38.5178             39.8177             1.28494
                  14             38.9764             39.7576             1.19456
                  15             43.7546             40.0241             1.14426
                  16             41.0283             40.0869             1.07446
                  17             38.2739             39.9802             1.01654
                  18             39.3116             39.9431            0.960739
                  19             39.8642             39.9389            0.910183
                  20             41.9379             40.0389            0.870145
