#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              3.8951              3.8951                   0
                   2              4.4343              4.1647            0.190636
                   3              3.3961              3.9085            0.244767
                   4              3.7131             3.85965            0.188387
                   5              3.7617             3.84006            0.151725
                   6              3.3597                3.76             0.14604
                   7              3.2715             3.69021            0.140868
                   8              4.1034             3.74186            0.132389
                   9              3.2693             3.68936            0.127668
                  10              3.6837             3.68879            0.114902
                  11              3.8675             3.70504            0.105599
                  12              4.2469             3.75019            0.106015
                  13              3.5099             3.73171           0.0994581
                  14               3.879             3.74223           0.0929088
                  15              4.1875             3.77191            0.091334
                  16              4.0586             3.78983           0.0873655
                  17              3.9389              3.7986           0.0826653
                  18              3.8086             3.79916           0.0780746
                  19              3.8411             3.80136           0.0739966
                  20              3.8315             3.80287           0.0703121
