#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1               81.87               81.87                   0
                   2             83.8296             82.8498            0.692828
                   3             82.0728             82.5908            0.507994
                   4             83.5459             82.8296            0.433496
                   5             83.2192             82.9075             0.35373
                   6             82.0953             82.7722            0.319628
                   7             82.7107             82.7634            0.274087
                   8             80.4661             82.4762            0.360097
                   9             82.6634              82.497            0.320687
                  10             81.7405             82.4214            0.297408
                  11             82.2569             82.4064            0.270747
                  12             81.5484             82.3349            0.257453
                  13             85.7905             82.6007            0.348852
                  14             81.3143             82.5088            0.335817
                  15              83.073             82.5464            0.315529
                  16             81.4638             82.4788            0.302976
                  17             82.8989             82.5035             0.28616
                  18             85.9801             82.6966            0.329052
                  19             80.4535             82.5786            0.332238
                  20             84.5368             82.6765            0.329738
