#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.898948            -0.898948                    0
                   2           -0.892188            -0.895568           0.00239002
                   3           -0.896984             -0.89604           0.00163929
                   4           -0.900852            -0.897243           0.00161152
                   5           -0.900984            -0.897991           0.00145256
                   6           -0.895908            -0.897644           0.00125127
                   7           -0.901836            -0.898243           0.00120735
                   8           -0.895672            -0.897921           0.00109837
                   9            -0.89442            -0.897532           0.00104296
                  10             -0.8986            -0.897639          0.000944108
                  11           -0.896736            -0.897557          0.000861843
                  12           -0.894896            -0.897335          0.000818056
                  13            -0.90162            -0.897665          0.000818836
                  14           -0.905404            -0.898218          0.000928375
                  15             -0.9003            -0.898357            0.0008768
                  16           -0.899728            -0.898442          0.000826179
                  17           -0.894172            -0.898191          0.000814872
                  18           -0.892168            -0.897856          0.000835484
                  19           -0.899972            -0.897968          0.000798896
                  20           -0.901872            -0.898163          0.000782438
