#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             1335.94             1335.94                   0
                   2              1222.2             1279.07             40.2133
                   3             1245.52             1267.89             28.3217
                   4             1467.94              1317.9             48.2406
                   5             1370.05             1328.33             39.7039
                   6             1302.05             1323.95             33.3274
                   7             1416.46             1337.16             31.0763
                   8             1254.45             1326.82             28.8604
                   9             1187.38             1311.33             29.5213
                  10             1403.03              1320.5             27.9572
                  11             1291.85              1317.9             25.5366
                  12             1287.58             1315.37             23.5332
                  13             1386.29             1320.83             22.3464
                  14             1495.47              1333.3             23.9807
                  15             1450.41             1341.11             23.6188
                  16             1426.26             1346.43             22.7343
                  17             1213.98             1338.64             22.6927
                  18             1255.67             1334.03             21.8951
                  19             1402.33             1337.62             21.0358
                  20             1409.04              1341.2             20.2848
