#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.5159             21.5159                   0
                   2              20.808              21.162            0.250287
                   3             20.2474             20.8571            0.299664
                   4             22.6486              21.305            0.448273
                   5             21.6444             21.3729            0.363724
                   6             21.2335             21.3496            0.303844
                   7             22.1522             21.4643            0.281238
                   8             21.5776             21.4784             0.24644
                   9             20.0877             21.3239            0.263083
                  10              21.998             21.3913            0.245259
                  11             20.7859             21.3363            0.229056
                  12             21.3611             21.3384            0.209977
                  13             21.3826             21.3418            0.193853
                  14             22.9025             21.4532            0.209624
                  15             22.9786             21.5549            0.218929
                  16             22.4938             21.6136            0.212964
                  17             21.1305             21.5852            0.202324
                  18             20.7835             21.5407            0.195924
                  19             21.9415             21.5618            0.186745
                  20             20.9388             21.5306            0.179987
