#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.9923              0.9923                   0
                   2               1.227             1.10965            0.082979
                   3              1.5726             1.26397            0.137608
                   4              1.5452             1.33427            0.119829
                   5              1.4747             1.36236           0.0990996
                   6              0.8918             1.28393            0.109296
                   7              1.0468             1.25006           0.0987927
                   8              1.5884             1.29235           0.0950663
                   9              1.5263             1.31834           0.0879855
                  10              1.0712             1.29363           0.0825851
                  11              1.6999             1.33056           0.0829258
                  12              1.2863             1.32687           0.0760973
                  13              1.3144             1.32592           0.0702497
                  14              1.0986             1.30968           0.0670821
                  15              1.0512             1.29245           0.0647854
                  16              1.1524             1.28369           0.0613247
                  17              0.7086             1.24986           0.0663957
                  18               1.417             1.25915            0.063353
                  19              1.3051             1.26157           0.0600647
                  20              1.2785             1.26242           0.0570675
