#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 145             -5.4742            -5.64872           0.0201467
                 146            -5.56809            -5.64817           0.0200163
                 147            -5.56923            -5.64763           0.0198873
                 148            -5.53467            -5.64687           0.0197676
                 149            -5.47656            -5.64572           0.0196679
                 150            -5.57453            -5.64525           0.0195425
                 151            -5.51171            -5.64437           0.0194331
                 152            -5.48982            -5.64335           0.0193318
                 153            -5.43229            -5.64197           0.0192546
                 154            -5.45907            -5.64078           0.0191662
                 155            -5.39006            -5.63916           0.0191107
                 156            -5.36882            -5.63743           0.0190666
                 157            -5.48668            -5.63647           0.0189693
                 158            -5.40797            -5.63502           0.0189043
                 159            -5.29404            -5.63288           0.0189067
                 160             -5.2725            -5.63063           0.0189222
                 161            -5.33326            -5.62878           0.0188946
                 162            -5.33648            -5.62698           0.0188639
                 163            -5.38545             -5.6255           0.0188063
                 164            -5.35637            -5.62385           0.0187631
                 165            -5.41246            -5.62257            0.018693
                 166            -5.34847            -5.62092           0.0186532
                 167            -5.35915            -5.61935           0.0186073
                 168            -5.40647            -5.61809           0.0185396
                 169            -5.25112            -5.61592           0.0185566
                 170             -5.2975            -5.61404           0.0185417
                 171            -5.32765            -5.61237           0.0185088
                 172             -5.3921            -5.61109           0.0184454
                 173            -5.41453            -5.60995           0.0183738
                 174            -5.40921             -5.6088           0.0183044
                 175            -5.23135            -5.60664           0.0183264
                 176            -5.23559            -5.60453           0.0183431
                 177             -5.2585            -5.60258           0.0183434
                 178            -5.27573            -5.60074            0.018332
                 179            -5.32631            -5.59921           0.0182936
                 180            -5.36917            -5.59793           0.0182365
                 181             -5.4224            -5.59696           0.0181616
                 182            -5.35833            -5.59565            0.018109
                 183            -5.40884            -5.59463           0.0180388
                 184            -5.39986            -5.59357           0.0179718
                 185            -5.40107            -5.59253           0.0179048
                 186            -5.44849            -5.59175           0.0178253
                 187            -5.38504            -5.59065           0.0177642
                 188            -5.43686            -5.58983           0.0176885
                 189            -5.49897            -5.58935           0.0176015
                 190             -5.5232              -5.589           0.0175123
                 191            -5.54784            -5.58879           0.0174219
                 192            -5.47857            -5.58821           0.0173406
                 193            -5.47962            -5.58765           0.0172599
                 194            -5.45814            -5.58698           0.0171838
                 195            -5.46926            -5.58638           0.0171063
                 196            -5.45646            -5.58572           0.0170319
                 197            -5.48092            -5.58518           0.0169537
                 198            -5.41651            -5.58433           0.0168895
                 199            -5.42128            -5.58351           0.0168245
                 200            -5.50993            -5.58314           0.0167444
                 201            -5.49349             -5.5827            0.016667
                 202            -5.56737            -5.58262           0.0165847
                 203            -5.45011            -5.58197           0.0165158
                 204              -5.442            -5.58128           0.0164491
                 205             -5.4457            -5.58062           0.0163822
                 206            -5.47184            -5.58009           0.0163111
                 207            -5.40089            -5.57923           0.0162553
                 208            -5.43379            -5.57853           0.0161922
                 209            -5.43084            -5.57782           0.0161301
                 210            -5.38791            -5.57692           0.0160786
                 211            -5.42436             -5.5762           0.0160187
                 212            -5.35462            -5.57515           0.0159772
                 213             -5.3941             -5.5743           0.0159248
                 214            -5.40217             -5.5735           0.0158707
                 215            -5.36843            -5.57254           0.0158255
                 216            -5.42155            -5.57184           0.0157676
                 217            -5.51237            -5.57157           0.0156974
                 218            -5.52353            -5.57135           0.0156269
                 219            -5.55805            -5.57129           0.0155557
                 220            -5.60851            -5.57146           0.0154859
                 221             -5.6512            -5.57182             0.01542
                 222            -5.61866            -5.57203            0.015352
                 223            -5.51327            -5.57177           0.0152854
                 224            -5.52706            -5.57157           0.0152185
                 225            -5.48782            -5.57119           0.0151554
                 226            -5.51473            -5.57094           0.0150904
                 227            -5.50438            -5.57065           0.0150268
                 228            -5.57817            -5.57068           0.0149609
                 229            -5.52644            -5.57049           0.0148968
                 230            -5.46799            -5.57004           0.0148387
                 231            -5.57146            -5.57005           0.0147745
                 232            -5.52157            -5.56984           0.0147123
                 233            -5.52386            -5.56964           0.0146504
                 234            -5.44727            -5.56912           0.0145972
                 235            -5.51615             -5.5689           0.0145368
                 236            -5.52282             -5.5687           0.0144765
                 237            -5.47765            -5.56832           0.0144205
                 238            -5.45202            -5.56783           0.0143682
                 239            -5.39285             -5.5671           0.0143267
                 240            -5.51593            -5.56688           0.0142686
                 241            -5.41861            -5.56627           0.0142227
                 242            -5.40797            -5.56561           0.0141789
                 243            -5.42298            -5.56503           0.0141327
                 244            -5.47059            -5.56464           0.0140801
                 245            -5.56991            -5.56466           0.0140226
                 246            -5.40295              -5.564            0.013981
                 247            -5.43293            -5.56347           0.0139345
                 248            -5.42995            -5.56293           0.0138887
                 249            -5.34032            -5.56204           0.0138617
                 250            -5.30183              -5.561           0.0138453
                 251            -5.43967            -5.56052           0.0137985
                 252            -5.50002            -5.56028           0.0137459
                 253            -5.50303            -5.56005           0.0136934
                 254            -5.45916            -5.55965           0.0136452
                 255            -5.50641            -5.55944           0.0135933
                 256            -5.53943            -5.55937           0.0135405
                 257            -5.69646             -5.5599           0.0134983
                 258            -5.61169             -5.5601           0.0134474
                 259            -5.62879            -5.56037           0.0133981
                 260            -5.55211            -5.56033           0.0133466
                 261             -5.4962            -5.56009           0.0132978
                 262            -5.57961            -5.56016           0.0132472
                 263            -5.59295            -5.56029           0.0131974
                 264            -5.51079             -5.5601           0.0131488
                 265            -5.48696            -5.55982           0.0131021
                 266            -5.46431            -5.55946           0.0130577
                 267            -5.35205            -5.55869           0.0130319
                 268             -5.4191            -5.55817           0.0129937
                 269            -5.45956             -5.5578           0.0129505
                 270            -5.52898            -5.55769            0.012903
                 271            -5.63574            -5.55798           0.0128586
                 272            -5.59375            -5.55811            0.012812
                 273            -5.59062            -5.55823           0.0127656
                 274            -5.57352            -5.55829           0.0127192
                 275            -5.58626            -5.55839           0.0126733
                 276            -5.52808            -5.55828           0.0126279
                 277            -5.46595            -5.55795           0.0125867
                 278            -5.43546            -5.55751           0.0125491
                 279            -5.41308            -5.55699           0.0125148
                 280            -5.41625            -5.55649           0.0124802
                 281             -5.4173            -5.55599           0.0124456
                 282            -5.40288            -5.55545           0.0124133
                 283            -5.44775            -5.55507           0.0123753
                 284            -5.46873            -5.55476           0.0123355
                 285            -5.47995             -5.5545            0.012295
                 286            -5.41393            -5.55401           0.0122618
                 287            -5.34168            -5.55327           0.0122414
                 288            -5.35944             -5.5526           0.0122174
                 289            -5.37767            -5.55199           0.0121901
                 290            -5.40491            -5.55148           0.0121586
                 291            -5.49965            -5.55131           0.0121181
                 292            -5.56274            -5.55134           0.0120767
                 293            -5.56255            -5.55138           0.0120355
                 294            -5.59837            -5.55154           0.0119956
                 295            -5.53643            -5.55149           0.0119551
                 296            -5.57108            -5.55156           0.0119149
                 297            -5.59925            -5.55172           0.0118758
                 298            -5.60212            -5.55189           0.0118372
                 299            -5.64949            -5.55221           0.0118021
                 300            -5.60459            -5.55239           0.0117641
                 301            -5.57244            -5.55245           0.0117252
                 302            -5.72398            -5.55302           0.0117001
                 303            -5.65989            -5.55338           0.0116668
                 304            -5.63491            -5.55364           0.0116315
                 305            -5.67839            -5.55405           0.0116005
                 306            -5.70903            -5.55456           0.0115737
                 307            -5.63871            -5.55483           0.0115392
                 308            -5.52799            -5.55475           0.0115021
                 309            -5.54213            -5.55471           0.0114649
                 310            -5.54286            -5.55467            0.011428
                 311            -5.54522            -5.55464           0.0113913
                 312            -5.57237            -5.55469           0.0113549
                 313             -5.6295            -5.55493           0.0113212
                 314            -5.61851            -5.55513           0.0112869
                 315             -5.6791            -5.55553            0.011258
                 316             -5.7029            -5.55599            0.011232
                 317            -5.60652            -5.55615           0.0111977
                 318            -5.64241            -5.55643           0.0111658
                 319            -5.60268            -5.55657           0.0111317
                 320            -5.55647            -5.55657           0.0110969
                 321            -5.60715            -5.55673           0.0110635
                 322            -5.58615            -5.55682           0.0110295
                 323            -5.52112            -5.55671           0.0109959
                 324            -5.58673             -5.5568           0.0109623
                 325            -5.56958            -5.55684           0.0109287
                 326            -5.59569            -5.55696           0.0108958
                 327             -5.4405             -5.5566           0.0108683
