#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              7.4258              7.4258                   0
                   2              8.2384              7.8321            0.287297
                   3              6.1711             7.27843            0.490967
                   4              7.1918             7.25678            0.368703
                   5              6.4493             7.09528            0.328432
                   6              8.5215             7.33298            0.349276
                   7               7.212              7.3157            0.299807
                   8              6.3918             7.20021            0.283703
                   9              7.4106             7.22359            0.253142
                  10              7.3642             7.23765            0.228218
                  11              8.2901             7.33333            0.226641
                  12              6.0286              7.2246            0.232375
                  13              8.1847             7.29845            0.225932
                  14                7.89             7.34071            0.213708
                  15              7.0841              7.3236            0.200145
                  16               7.663             7.34481            0.188756
                  17              7.6059             7.36017            0.178277
                  18              7.1989             7.35121            0.168598
                  19              7.1224             7.33917            0.160154
                  20              6.9926             7.32184             0.15308
