#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             75.6198             75.6198                   0
                   2             78.9377             77.2788             1.17304
                   3             77.9321             77.4965            0.801986
                   4             77.2066             77.4241            0.604756
                   5             76.7854             77.2963            0.497111
                   6             77.1403             77.2703            0.414939
                   7             78.3551             77.4253             0.38351
                   8              77.061             77.3797            0.338264
                   9             78.7468             77.5316             0.33304
                  10             77.2278             77.5013            0.301118
                  11             76.9924              77.455            0.277274
                  12             76.6345             77.3866            0.262464
                  13             76.5573             77.3228            0.249907
                  14             77.6845             77.3487            0.233387
                  15             79.3578             77.4826            0.253363
                  16             76.9871             77.4516            0.239413
                  17             78.1725              77.494            0.229054
                  18             77.9957             77.5219            0.218018
                  19             77.0177             77.4954            0.208153
                  20             75.4702             77.3941            0.221006
