#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             10.5908             10.5908                   0
                   2             10.8531              10.722            0.092735
                   3             10.8783             10.7741           0.0750515
                   4             10.8381             10.7901           0.0579676
                   5             10.7872             10.7895            0.046377
                   6             10.7522             10.7833           0.0390613
                   7             10.9708             10.8101           0.0416691
                   8             11.0031             10.8342            0.042881
                   9             10.9273             10.8445           0.0393432
                  10             10.8281             10.8429           0.0354432
                  11             10.8929             10.8474           0.0325117
                  12             10.8809             10.8502            0.029922
                  13             10.5135             10.8243           0.0371761
                  14             10.9017             10.8299           0.0349289
                  15             11.0039             10.8415           0.0344742
                  16             10.8078             10.8394           0.0323836
                  17             11.0421             10.8513            0.032601
                  18             10.6872             10.8422           0.0320395
                  19             10.9326             10.8469           0.0307049
                  20             10.9697             10.8531           0.0297766
