#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.02648             5.02648                   0
                   2             4.89379             4.96014           0.0469126
                   3             4.98256             4.96761           0.0318648
                   4              5.0199             4.98068           0.0264446
                   5              5.0604             4.99663           0.0255136
                   6             4.97138             4.99242           0.0216056
                   7             4.90481              4.9799           0.0218451
                   8             5.04028             4.98745           0.0203763
                   9              4.9248             4.98049           0.0192646
                  10             5.01299             4.98374           0.0176102
                  11             4.94147              4.9799           0.0164231
                  12             5.07323             4.98767           0.0167955
                  13             5.01557             4.98982           0.0156401
                  14             5.01882             4.99189           0.0146595
                  15             4.95403             4.98937           0.0138978
                  16             5.00786             4.99052           0.0130772
                  17             4.95468             4.98841           0.0124768
                  18             4.88519             4.98268           0.0130352
                  19             4.99872             4.98352           0.0123764
                  20             4.91856             4.98028           0.0121764
