#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             20.6614             20.6614                   0
                   2             17.8632             19.2623            0.989313
                   3             18.8442             19.1229            0.669287
                   4             18.6559             19.0062            0.512048
                   5             15.8685             18.3786             0.69487
                   6             18.0533             18.3244             0.58117
                   7             15.9121             17.9798             0.59156
                   8              17.219             17.8847            0.525204
                   9             16.1287             17.6896            0.501782
                  10             14.7826             17.3989            0.529152
                  11             17.2628             17.3865            0.481192
                  12             18.0304             17.4402            0.444074
                  13             17.9372             17.4784            0.411557
                  14             18.1831             17.5287            0.385226
                  15             16.1671              17.438            0.370085
                  16             16.5363             17.3816            0.351219
                  17             18.8984             17.4708            0.341704
                  18             19.1589             17.5646            0.335343
                  19             20.3075              17.709             0.34738
                  20             16.5398             17.6505            0.334894
