#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.372144            -0.372144                    0
                   2           -0.372852            -0.372498          0.000250316
                   3            -0.37238            -0.372459          0.000169939
                   4            -0.37208            -0.372364          0.000151545
                   5           -0.371176            -0.372126          0.000244666
                   6           -0.371384            -0.372003          0.000233085
                   7           -0.373316             -0.37219           0.00026474
                   8           -0.373664            -0.372374           0.00028871
                   9           -0.369644            -0.372071          0.000384288
                  10           -0.370724            -0.371936          0.000368715
                  11           -0.370176            -0.371776          0.000368293
                  12           -0.371988            -0.371794          0.000338024
                  13           -0.370432            -0.371689          0.000327856
                  14           -0.372196            -0.371725           0.00030643
                  15           -0.371056            -0.371681          0.000289233
                  16             -0.3738            -0.371813          0.000299953
                  17           -0.370352            -0.371727          0.000294367
                  18           -0.370948            -0.371684          0.000281179
                  19           -0.371928            -0.371697          0.000266674
                  20           -0.371764              -0.3717          0.000253361
