#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             42.0264             42.0264                   0
                   2              43.848             42.9372            0.644054
                   3             42.0009             42.6251            0.499291
                   4             42.0181             42.4734             0.39686
                   5             43.2787             42.6344            0.348642
                   6              43.711             42.8139            0.333525
                   7              43.123              42.858            0.288787
                   8             42.3686             42.7968            0.259087
                   9              42.098             42.7192            0.241654
                  10             43.0555             42.7528            0.219816
                  11             42.5609             42.7354            0.200524
                  12             42.9833              42.756            0.184875
                  13             42.1022             42.7057            0.177364
                  14             42.2057               42.67            0.168253
                  15             42.5125             42.6595            0.157363
                  16              42.339             42.6395            0.148798
                  17              41.422             42.5679            0.156331
                  18             43.3111             42.6092            0.153001
                  19             41.8521             42.5693            0.150047
                  20             42.2395             42.5528            0.143449
