#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.62222             -0.62222                    0
                   2            -0.62296             -0.62259           0.00026163
                   3           -0.620448            -0.621876          0.000608511
                   4           -0.619872            -0.621375          0.000629712
                   5           -0.621208            -0.621342          0.000504654
                   6           -0.623136            -0.621641           0.00050139
                   7            -0.62338            -0.621889           0.00048746
                   8           -0.622044            -0.621909          0.000426911
                   9           -0.618004            -0.621475          0.000557944
                  10           -0.620124             -0.62134           0.00051824
                  11           -0.622792            -0.621472          0.000487658
                  12           -0.621272            -0.621455          0.000447303
                  13           -0.621684            -0.621473          0.000413242
                  14           -0.622884            -0.621573          0.000395831
                  15           -0.617736            -0.621318          0.000444491
                  16           -0.622476             -0.62139          0.000422566
                  17           -0.622056            -0.621429          0.000399521
                  18           -0.622072            -0.621465          0.000378918
                  19           -0.621224            -0.621452          0.000359187
                  20           -0.622432            -0.621501          0.000344552
