#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             16.0743             16.0743                   0
                   2             16.0584             16.0664          0.00560692
                   3              16.801             16.3112            0.199962
                   4             16.4754             16.3523            0.154124
                   5             16.0101             16.2838            0.137654
                   6               16.25             16.2782            0.114827
                   7             15.8072             16.2109            0.116482
                   8             15.9568             16.1791            0.106164
                   9             16.3637             16.1997           0.0963284
                  10             16.2754             16.2072           0.0869932
                  11             16.1609              16.203           0.0791868
                  12             16.2638             16.2081           0.0727498
                  13             16.2713             16.2129           0.0673159
                  14             16.1075             16.2054           0.0629277
                  15             15.9782             16.1903           0.0605282
                  16              16.561             16.2134           0.0610197
                  17             16.0564             16.2042           0.0581253
                  18             16.4109             16.2157            0.056019
                  19              15.603             16.1834           0.0616566
                  20              16.399             16.1942           0.0595087
