#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             159.014             159.014                   0
                   2             162.757             160.886             1.32319
                   3             161.274             161.015            0.888427
                   4             154.556               159.4             1.54904
                   5             150.782             157.677             1.97795
                   6             151.807             156.698             1.87467
                   7             155.275             156.495             1.61785
                   8             150.033             155.687             1.60462
                   9             153.895             155.488             1.43863
                  10             153.918             155.331             1.30331
                  11             153.561              155.17             1.19472
                  12             158.044              155.41             1.11891
                  13             155.964             155.452             1.03365
                  14             147.252             154.867             1.11349
                  15             153.134             154.751             1.04523
                  16             154.198             154.716            0.980472
                  17             161.799             155.133             1.00742
                  18             157.782              155.28            0.962139
                  19             145.226             154.751             1.04695
                  20             152.911             154.659            0.998637
