#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              7.8525              7.8525                   0
                   2             7.63266             7.74258           0.0777247
                   3             7.84274             7.77597           0.0585493
                   4             7.74649              7.7686           0.0443733
                   5             7.89304             7.79349           0.0419009
                   6             7.78098              7.7914           0.0349692
                   7             7.74542             7.78483           0.0305843
                   8             7.75461             7.78106           0.0269937
                   9             7.79083             7.78214           0.0240162
                  10             7.73788             7.77772           0.0220187
                  11             7.77957             7.77788           0.0200176
                  12             7.97672             7.79445           0.0242567
                  13             7.93329             7.80513           0.0246299
                  14             7.90277             7.81211           0.0238375
                  15             7.69476             7.80428           0.0234969
                  16             7.77093              7.8022           0.0221206
                  17             7.88207              7.8069           0.0213125
                  18             7.71756             7.80193           0.0206982
                  19             7.75794             7.79962           0.0197379
                  20             7.76519              7.7979            0.018826
