#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             49.8974             49.8974                   0
                   2             52.4552             51.1763            0.904302
                   3             50.2415             50.8647            0.654358
                   4             51.3757             50.9924            0.503082
                   5             51.0405              51.002            0.402558
                   6             53.0086             51.3365            0.453583
                   7             51.8719              51.413            0.395182
                   8              50.673             51.3205            0.356446
                   9              50.483             51.2274            0.328762
                  10             51.3145             51.2361            0.296001
                  11              51.082             51.2221            0.269423
                  12             52.3199             51.3136            0.262043
                  13             51.6398             51.3387            0.243084
                  14             50.8172             51.3014            0.228557
                  15             51.9476             51.3445            0.217341
                  16             50.6461             51.3009            0.208094
                  17             50.1434             51.2328            0.206692
                  18             52.3775             51.2964            0.204759
                  19             50.6592             51.2628             0.19671
                  20             51.1344             51.2564            0.186979
