#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             9.96671             9.96671                   0
                   2             9.73803             9.85237           0.0808509
                   3             10.0004             9.90171           0.0672925
                   4             9.95699             9.91553           0.0518689
                   5             9.95212             9.92285           0.0420083
                   6             9.67416              9.8814           0.0515465
                   7             9.86775             9.87945           0.0442196
                   8             9.79204             9.86852           0.0400194
                   9             9.70157             9.84997           0.0396397
                  10             9.93094             9.85807           0.0364934
                  11             9.87675             9.85977           0.0332153
                  12             9.93771             9.86626           0.0310759
                  13             10.0203             9.87811           0.0308614
                  14              9.9339              9.8821           0.0289131
                  15             9.66028             9.86731            0.030534
                  16             9.88893             9.86866           0.0286555
                  17              9.9814             9.87529           0.0277267
                  18             9.79475             9.87082           0.0265449
                  19             9.70615             9.86215           0.0265249
                  20             9.77322              9.8577           0.0255687
