#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.5606              0.5606                   0
                   2              0.9938              0.7772            0.153159
                   3              1.1386            0.897667            0.141776
                   4              1.1691            0.965525            0.121491
                   5              1.0986             0.99214            0.100066
                   6              0.6592             0.93665            0.097568
                   7              0.9686            0.941214           0.0837364
                   8              1.2881            0.984575           0.0837469
                   9              1.1566             1.00369           0.0765918
                  10              0.6678              0.9701           0.0759414
                  11              1.1774            0.988945           0.0713377
                  12              0.8846             0.98025           0.0659207
                  13              1.0084            0.982415           0.0608854
                  14              0.7009            0.962307           0.0597648
                  15              0.6163             0.93924           0.0600673
                  16              0.6446            0.920825           0.0590685
                  17              0.5701            0.900194            0.059087
                  18              1.1306            0.912994           0.0571741
                  19                1.03            0.919153           0.0544955
                  20              1.0338            0.924885           0.0520714
