#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.2558              1.2558                   0
                   2              1.5155             1.38565           0.0918178
                   3              1.4013             1.39087           0.0613599
                   4              1.2202              1.3482           0.0590184
                   5              1.1508             1.30872            0.058959
                   6              1.6541             1.36628           0.0719394
                   7              1.2156             1.34476            0.064803
                   8              1.3176             1.34136           0.0567915
                   9              1.2856             1.33517           0.0508182
                  10              1.0544             1.30709           0.0529271
                  11              0.9849              1.2778           0.0556329
                  12              1.4816             1.29478           0.0535264
                  13              1.0695             1.27745           0.0521388
                  14              1.7575             1.31174           0.0586151
                  15              1.1458             1.30068           0.0557417
                  16              1.2536             1.29774           0.0523354
                  17               1.417             1.30475           0.0497248
                  18              1.4873             1.31489           0.0479854
                  19              1.2361             1.31075           0.0456387
                  20              0.9805             1.29424           0.0462475
