#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.7088              0.7088                   0
                   2              0.9041             0.80645            0.069049
                   3              0.6757            0.762867           0.0581837
                   4              0.7552             0.76095           0.0436693
                   5              0.7363             0.75602           0.0352126
                   6              0.6212             0.73355           0.0358024
                   7              0.6663            0.723943           0.0319508
                   8                 0.7             0.72095           0.0280968
                   9              0.8302            0.733089           0.0274723
                  10              0.7604             0.73582           0.0248604
                  11               0.771            0.739018           0.0228052
                  12              0.6729            0.733508           0.0215601
                  13              0.8695            0.743969           0.0222954
                  14              0.9524            0.758857           0.0251879
                  15              0.8412            0.764347           0.0240994
                  16              0.8255            0.768169           0.0228943
                  17              0.7312            0.765994           0.0216506
                  18              0.9358            0.775428            0.022409
                  19              0.6997            0.771442           0.0215811
                  20               0.564             0.76107            0.022859
