#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             75.5645             75.5645                   0
                   2              78.654             77.1092              1.0923
                   3             77.1991             77.1392            0.728612
                   4             78.2093             77.4067            0.593542
                   5              76.481             77.2216            0.502884
                   6             75.5573             76.9442            0.489625
                   7             77.9397             77.0864            0.439849
                   8             75.3456             76.8688            0.435379
                   9              77.094             76.8938            0.387722
                  10             77.1453              76.919            0.349764
                  11             77.2447             76.9486            0.319218
                  12             76.0784             76.8761             0.30074
                  13             79.9644             77.1136            0.359388
                  14             75.6025             77.0057            0.349552
                  15              77.133             77.0142            0.326351
                  16             76.6219             76.9897            0.306874
                  17             77.7926             77.0369            0.292435
                  18             80.4535             77.2267            0.332127
                  19             75.9574             77.1599            0.321294
                  20             78.3073             77.2173            0.310309
