#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             10.9009             10.9009                   0
                   2              10.818             10.8594           0.0293214
                   3             10.9946             10.9045           0.0416626
                   4               10.91             10.9059           0.0312697
                   5             10.9837             10.9215           0.0286291
                   6             10.7382             10.8909           0.0366986
                   7              10.898             10.8919           0.0314701
                   8             10.8611             10.8881           0.0277717
                   9             10.7204             10.8694           0.0302939
                  10             10.8692             10.8694           0.0272646
                  11             10.8151             10.8645           0.0252292
                  12             10.8425             10.8626           0.0231932
                  13              10.951             10.8694           0.0223835
                  14             10.8847             10.8705           0.0208114
                  15             10.7026             10.8593           0.0222309
                  16             10.8866              10.861           0.0209065
                  17             10.9596             10.8668           0.0204652
                  18             10.7896             10.8626           0.0197734
                  19             10.7957              10.859           0.0190435
                  20             10.8145             10.8568            0.018221
