#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.487056            -0.487056                    0
                   2           -0.488276            -0.487666          0.000431335
                   3           -0.487668            -0.487667          0.000287557
                   4           -0.487496            -0.487624           0.00021881
                   5           -0.486292            -0.487358          0.000295664
                   6           -0.487128            -0.487319          0.000248851
                   7            -0.49006            -0.487711          0.000420582
                   8           -0.489028            -0.487876          0.000398936
                   9           -0.486316            -0.487702          0.000390432
                  10           -0.487568            -0.487689          0.000351619
                  11            -0.48874            -0.487784          0.000332386
                  12           -0.487764            -0.487783          0.000304692
                  13           -0.488416            -0.487831          0.000285122
                  14           -0.488848            -0.487904          0.000273847
                  15           -0.486372            -0.487802          0.000273975
                  16            -0.48892            -0.487872          0.000265615
                  17           -0.488344              -0.4879          0.000251439
                  18           -0.488408            -0.487928          0.000239052
                  19            -0.48816             -0.48794          0.000226782
                  20           -0.488416            -0.487964          0.000216688
