#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.6223              0.6223                   0
                   2              1.0003              0.8113            0.133643
                   3              1.1729            0.931833            0.132754
                   4              1.2323             1.00695            0.118933
                   5              1.1871             1.04298            0.100456
                   6              0.7172            0.988683           0.0972867
                   7              0.9711            0.986171            0.083421
                   8              1.3473             1.03131           0.0843269
                   9              1.2285             1.05322           0.0777515
                  10              0.7737             1.02527           0.0748323
                  11              1.2726             1.04775           0.0713274
                  12              0.9091              1.0362           0.0663127
                  13              1.0478             1.03709           0.0612177
                  14              0.7412             1.01596           0.0603833
                  15              0.7191            0.996167           0.0595126
                  16              0.7284            0.979431           0.0580985
                  17              0.5639            0.954988           0.0596014
                  18              1.2073            0.969006           0.0579151
                  19              1.1019               0.976           0.0552876
                  20              1.0793            0.981165            0.052764
