#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             39.5904             39.5904                   0
                   2             39.5556              39.573           0.0123135
                   3             39.3967             39.5142           0.0486793
                   4             39.3507             39.4733           0.0508563
                   5             38.8638             39.3514            0.116385
                   6             39.5012             39.3764           0.0996299
                   7             39.2077             39.3523           0.0882623
                   8              39.168             39.3293           0.0801798
                   9             38.9977             39.2924           0.0792862
                  10              39.976             39.3608           0.0964208
                  11             38.6207             39.2935            0.108623
                  12             39.2098             39.2865           0.0997949
                  13             39.9804             39.3399            0.105429
                  14             38.5136             39.2809            0.113218
                  15             39.2698             39.2801            0.105673
                  16             39.4223              39.289           0.0994411
                  17             40.0096             39.3314            0.102227
                  18             39.5871             39.3456           0.0975299
                  19             39.3205             39.3443           0.0924058
                  20             40.7357             39.4139            0.110925
