#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             6.07519             6.07519                   0
                   2             6.04661              6.0609            0.010103
                   3             6.14327             6.08836           0.0234076
                   4             6.07922             6.08607           0.0176668
                   5             6.11277             6.09141           0.0149184
                   6             5.99581             6.07548           0.0191346
                   7             6.06262             6.07364           0.0164891
                   8             6.06461             6.07251           0.0144666
                   9             6.02533             6.06727           0.0137763
                  10             6.06615             6.06716           0.0123991
                  11             5.98636             6.05981           0.0132702
                  12             6.00148             6.05495           0.0130242
                  13             6.02803             6.05288           0.0121859
                  14             6.08763             6.05536           0.0115655
                  15             6.13978             6.06099           0.0120866
                  16             6.00167             6.05728           0.0118861
                  17             6.17833              6.0644            0.013148
                  18             6.01776             6.06181           0.0126703
                  19             6.17526             6.06778           0.0133364
                  20             6.01835             6.06531           0.0128966
