#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.763192            -0.763192                    0
                   2            -0.76154            -0.762366           0.00058407
                   3           -0.758876            -0.761203           0.00102657
                   4           -0.759956            -0.760891          0.000815868
                   5           -0.762892            -0.761291          0.000744405
                   6           -0.761284             -0.76129          0.000620338
                   7           -0.762688             -0.76149           0.00056295
                   8           -0.762848             -0.76166          0.000517552
                   9           -0.760552            -0.761536           0.00047445
                  10            -0.76506            -0.761889          0.000542284
                  11           -0.764216              -0.7621          0.000532658
                  12           -0.760556            -0.761972          0.000503578
                  13           -0.760944            -0.761893          0.000471005
                  14              -0.763            -0.761972          0.000443954
                  15           -0.761656            -0.761951          0.000414855
                  16           -0.762612            -0.761992           0.00039098
                  17            -0.76316            -0.762061           0.00037397
                  18            -0.75962            -0.761925          0.000376975
                  19            -0.76072            -0.761862          0.000362431
                  20           -0.764648            -0.762001          0.000370118
