#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.0369             21.0369                   0
                   2             20.7229             20.8799            0.111036
                   3             20.5864             20.7821            0.108897
                   4             21.6216              20.992            0.199267
                   5             20.4983             20.8932             0.18224
                   6             21.0927             20.9265            0.154869
                   7             21.4027             20.9945            0.146932
                   8             20.3317             20.9117            0.150116
                   9             21.3288              20.958            0.140411
                  10                21.1             20.9722            0.127086
                  11             20.6996             20.9474            0.117925
                  12             21.2368             20.9715            0.110536
                  13             21.5162             21.0134            0.109686
                  14             20.8735             21.0034            0.102306
                  15             21.5899             21.0425            0.102686
                  16             20.5453             21.0115             0.10086
                  17             20.9622             21.0086           0.0949688
                  18             21.7172             21.0479           0.0975126
                  19             20.4291             21.0154           0.0976685
                  20              21.282             21.0287           0.0936904
